working,lot,year,collectible,edition,name,condition,uncleaned
Cyclopean Tomb,,1993,Magic The Gathering,Beta,Cyclopean Tomb,R A PSA 7 NRMT,1993 Magic The Gathering MTG Beta Cyclopean Tomb R A PSA 7 NRMT
Mox Emerald,,1993,Magic The Gathering,Beta,Mox Emerald,R A BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Beta Mox Emerald R A BGS 8.5 NM-MT+
Mox Jet,,1993,Magic The Gathering,Beta,Mox Jet,R A BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Beta Mox Jet R A BGS 8.5 NM-MT+
Mox Jet,,1993,Magic The Gathering,Beta,Mox Jet,R A BGS 9 MINT,1993 Magic The Gathering MTG Beta Mox Jet R A BGS 9 MINT
Mox Ruby,,1993,Magic The Gathering,Beta,Mox Ruby,R A BGS 7 NRMT,1993 Magic The Gathering MTG Beta Mox Ruby R A BGS 7 NRMT
Mox Sapphire,,1993,Magic The Gathering,Beta,Mox Sapphire,R A BGS 5 EX,1993 Magic The Gathering MTG Beta Mox Sapphire R A BGS 5 EX
Time Walk,,1993,Magic The Gathering,Beta,Time Walk,R B BGS 5 EX,1993 Magic The Gathering MTG Beta Time Walk R B BGS 5 EX
Timetwister,,1993,Magic The Gathering,Beta,Timetwister,R B Tedin AUTO BAS BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Beta Timetwister R B Tedin AUTO BAS BGS 8.5 NM-MT+
Dual Land Volcanic Island,,1993,Magic The Gathering,Beta,Dual Land Volcanic Island,R L BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Beta Dual Land Volcanic Island R L BGS 8.5 NM-MT+
Ancestral Recall,,1993,Magic The Gathering,Unlimited,Ancestral Recall,R B BGS 7.5 NRMT+,1993 Magic The Gathering MTG Unlimited Ancestral Recall R B BGS 7.5 NRMT+
Mox Ruby,,1993,Magic The Gathering,Unlimited,Mox Ruby,R A BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Unlimited Mox Ruby R A BGS 8.5 NM-MT+
Mox Pearl,,1993,Magic The Gathering,Unlimited,Mox Pearl,R A BGS 6.5 EXMT+,1993 Magic The Gathering MTG Unlimited Mox Pearl R A BGS 6.5 EXMT+
Mox Sapphire,,1993,Magic The Gathering,Unlimited,Mox Sapphire,R A BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Unlimited Mox Sapphire R A BGS 8.5 NM-MT+
Time Vault,,1993,Magic The Gathering,Unlimited,Time Vault,R A BGS 9 MINT,1993 Magic The Gathering MTG Unlimited Time Vault R A BGS 9 MINT
Time Walk,,1993,Magic The Gathering,Unlimited,Time Walk,R B BGS 9 MINT,1993 Magic The Gathering MTG Unlimited Time Walk R B BGS 9 MINT
Timetwister,,1993,Magic The Gathering,Unlimited,Timetwister,R B BGS 8 NM-MT,1993 Magic The Gathering MTG Unlimited Timetwister R B BGS 8 NM-MT
Mishra's Workshop,,1994,Magic The Gathering,Antiquities,Mishra's Workshop,U1 L BGS 9 MINT,1994 Magic The Gathering MTG Antiquities Mishra's Workshop U1 L BGS 9 MINT
Chains Of Mephistopheles,,1994,Magic The Gathering,Legends,Chains Of Mephistopheles,R K BGS 9.5 GEM,1994 Magic The Gathering MTG Legends Chains Of Mephistopheles R K BGS 9.5 GEM
Mishra's Workshop,,1994,Magic The Gathering,Antiquities,Mishra's Workshop,U1 L BGS 9.5 GEM MINT,1994 Magic The Gathering MTG Antiquities Mishra's Workshop U1 L BGS 9.5 GEM MINT
Tabernacle At Pendrell Vale,,1994,Magic The Gathering,Legends,Tabernacle At Pendrell Vale,R L BGS 8.5,1994 Magic The Gathering MTG Legends Tabernacle At Pendrell Vale R L BGS 8.5
Tabernacle At Pendrell Vale,,1994,Magic The Gathering,Legends,Tabernacle At Pendrell Vale,R L BGS 9.5 GEM,1994 Magic The Gathering MTG Legends Tabernacle At Pendrell Vale R L BGS 9.5 GEM
Gaea's Cradle,,1998,Magic The Gathering,Urza's Saga,Gaea's Cradle,R L BGS 9.5 GEM MINT,1998 Magic The Gathering MTG Urza's Saga Gaea's Cradle R L BGS 9.5 GEM MINT
The Abyss,,1994,Magic The Gathering,Legends,The Abyss,R K BGS 9.5 GEM MINT,1994 Magic The Gathering MTG Legends The Abyss R K BGS 9.5 GEM MINT
Magic Gathering P3K Portal Three Kingdoms Factory Sealed Booster Box 60ct,,1999,,,,,1999 Magic Gathering P3K Portal Three Kingdoms Factory Sealed Booster Box 60ct
Booster Box English 36ct Packs,,1999,Magic The Gathering,Urza's Saga,,,1999 Magic The Gathering MTG Urza's Saga Booster Box English 36ct Packs
Black Vise,,1993,Magic The Gathering,Alpha,Black Vise,U A BGS 9.5 GEM MINT,1993 Magic The Gathering MTG Alpha Black Vise U A BGS 9.5 GEM MINT
Black Vise,,1993,Magic The Gathering,Beta,Black Vise,U A BGS 8.5 NM-MT+,1993 Magic The Gathering MTG Beta Black Vise U A BGS 8.5 NM-MT+
Serra Angel,,1993,Magic The Gathering,Unlimited,Serra Angel,U W CGC 7 NRMT,1993 Magic The Gathering MTG Unlimited Serra Angel U W CGC 7 NRMT
Box-Toppers Balefire Dragon,,2018,Magic The Gathering,Ultimate Masters,Box-Toppers Balefire Dragon,BGS 9.5,2018 Magic The Gathering Ultimate Masters Box-Toppers Balefire Dragon BGS 9.5
Box-Toppers Vengevine,,2018,Magic The Gathering,Ultimate Masters,Box-Toppers Vengevine,BGS 9.5 GEM,2018 Magic The Gathering MTG Ultimate Masters Box-Toppers Vengevine BGS 9.5 GEM
"Sigarda, Hose Of Herons",,2018,Magic The Gathering,Ultimate Masters,"Sigarda, Hose Of Herons",BGS 9.5,"2018 Magic The Gathering MTG Ultimate Masters Sigarda, Hose Of Herons BGS 9.5"
Box-Toppers Creeping Tar Pit,,2018,Magic The Gathering,Ultimate Masters,Box-Toppers Creeping Tar Pit,BGS 9.5,2018 Magic The Gathering Ultimate Masters Box-Toppers Creeping Tar Pit BGS 9.5
