id,name,rarity,keywords,set_name,set_type
210712,Fury Sliver,uncommon,[],Time Spiral,expansion
210713,Fury Sliver [Foil],uncommon,[],Time Spiral,expansion
210714,Kor Outfitter,common,[],Zendikar,expansion
210715,Kor Outfitter [Foil],common,[],Zendikar,expansion
210716,Spirit,common,[],Modern Masters 2015 Tokens,token
210717,Siren Lookout,common,[],Ixalan,expansion
210718,Siren Lookout [Foil],common,[],Ixalan,expansion
210719,Web,rare,[],Revised Edition,core
210720,Venerable Knight,uncommon,[],Throne of Eldraine,expansion
210721,Venerable Knight [Foil],uncommon,[],Throne of Eldraine,expansion
210722,Wildcall [Promo],rare,[],Ugin's Fate,promo
210723,Mystic Skyfish,common,[],Core Set 2021,core
210724,Swamp,common,[],Jumpstart,draft_innovation
210725,Swamp,common,[],Tempest,expansion
210726,Birds of Paradise,rare,[],Secret Lair Drop,box
210727,Birds of Paradise [Foil],rare,[],Secret Lair Drop,box
210728,Wall of Vipers,uncommon,[],Prophecy,expansion
210729,Wall of Vipers [Foil],uncommon,[],Prophecy,expansion
210730,Mulch,common,[],Commander 2015,commander
210731,Whiptongue Hydra,rare,[],Commander 2018,commander
210732,Wall of Roots [Promo] [Foil],rare,[],Friday Night Magic 2008,promo
210733,Blood Operative,rare,[],Guilds of Ravnica,expansion
210734,Blood Operative [Foil],rare,[],Guilds of Ravnica,expansion
210735,Selvala's Enforcer,common,[],Conspiracy,draft_innovation
210736,Selvala's Enforcer [Foil],common,[],Conspiracy,draft_innovation
210737,Fresh Meat,rare,[],New Phyrexia,expansion
210738,Fresh Meat [Foil],rare,[],New Phyrexia,expansion
210739,Orzhov Guildgate,common,[],Gatecrash,expansion
210740,Orzhov Guildgate [Foil],common,[],Gatecrash,expansion
210741,Sinew Sliver,common,[],Time Spiral Remastered,masters
210742,Sinew Sliver [Foil],common,[],Time Spiral Remastered,masters
210743,Charge,common,[],Dominaria,expansion
210744,Charge [Foil],common,[],Dominaria,expansion
210745,Island,common,[],Throne of Eldraine,expansion
210746,Island [Foil],common,[],Throne of Eldraine,expansion
210747,Novice Knight,uncommon,[],Core Set 2019,core
210748,Novice Knight [Foil],uncommon,[],Core Set 2019,core
210749,Fallen Askari,common,[],Visions,expansion
210750,Altar's Reap,common,[],Mystery Booster,masters
210751,"Odric, Master Tactician",rare,[],Commander 2020,commander
210752,Afflict,common,[],Odyssey,expansion
210753,Afflict [Foil],common,[],Odyssey,expansion
210754,Invisible Stalker,uncommon,[],Innistrad,expansion
210755,Invisible Stalker [Foil],uncommon,[],Innistrad,expansion
210756,"Dakkon, Shadow Slayer",mythic,[],Modern Horizons 2,draft_innovation
210757,"Dakkon, Shadow Slayer [Foil]",mythic,[],Modern Horizons 2,draft_innovation
210758,Shahrazad,rare,[],Arabian Nights,expansion
210759,Destructive Tampering,common,[],Aether Revolt,expansion
210760,Destructive Tampering [Foil],common,[],Aether Revolt,expansion
210761,Harmonize,uncommon,[],Commander 2020,commander
210762,Nocturnal Raid,uncommon,[],Mirage,expansion
210763,Flensermite,common,[],Mirrodin Besieged,expansion
210764,Flensermite [Foil],common,[],Mirrodin Besieged,expansion
210765,Triskelion [Foil],rare,[],Mystery Booster Retail Edition Foils,masters
210766,Gate Smasher,uncommon,[],Dragons of Tarkir,expansion
210767,Gate Smasher [Foil],uncommon,[],Dragons of Tarkir,expansion
210768,Island,common,[],Foreign Black Border,core
210769,World Breaker,mythic,[],Oath of the Gatewatch,expansion
210770,World Breaker [Foil],mythic,[],Oath of the Gatewatch,expansion
210771,Mad Auntie,uncommon,[],Modern Masters,masters
210772,Mad Auntie [Foil],uncommon,[],Modern Masters,masters
210773,Coral Eel,common,[],Ninth Edition,core
210774,Lurking Nightstalker,common,[],Portal Second Age,starter
210775,Remand,uncommon,[],Duel Decks: Jace vs. Vraska,duel_deck
210776,Plains,common,[],Commander Anthology,commander
210777,Plains,common,[],Battle Royale Box Set,box
210778,"Edric, Spymaster of Trest",rare,[],Conspiracy,draft_innovation
210779,"Edric, Spymaster of Trest [Foil]",rare,[],Conspiracy,draft_innovation
210780,Bubbling Beebles,common,[],Urza's Destiny,expansion
210781,Bubbling Beebles [Foil],common,[],Urza's Destiny,expansion
210782,Unholy Strength,common,[],Seventh Edition,core
210783,Unholy Strength [Foil],common,[],Seventh Edition,core
210784,Consecrate // Consume,uncommon,[],Ravnica Allegiance,expansion
210785,Consecrate // Consume [Foil],uncommon,[],Ravnica Allegiance,expansion
210786,Thornwood Falls,common,[],Eternal Masters,masters
210787,Thornwood Falls [Foil],common,[],Eternal Masters,masters
210788,Goblin Bowling Team,common,[],Unglued,funny
210789,Elvish Aberration [Promo] [Foil],rare,[],Arena League 2003,promo
210790,Mwonvuli Beast Tracker,uncommon,[],Magic 2013,core
210791,Mwonvuli Beast Tracker [Foil],uncommon,[],Magic 2013,core
210792,Return to Dust,uncommon,[],Kaldheim Commander,commander
210793,Shock,common,[],Aether Revolt,expansion
210794,Shock [Foil],common,[],Aether Revolt,expansion
210795,Walk the Plank,uncommon,[],Ixalan,expansion
210796,Walk the Plank [Foil],uncommon,[],Ixalan,expansion
210797,Sphinx's Revelation,mythic,[],Modern Masters 2017,masters
210798,Sphinx's Revelation [Foil],mythic,[],Modern Masters 2017,masters
210799,Mise,uncommon,[],Unhinged,funny
210800,Mise [Foil],uncommon,[],Unhinged,funny
210801,Kor Entanglers,uncommon,[],Battle for Zendikar,expansion
210802,Kor Entanglers [Foil],uncommon,[],Battle for Zendikar,expansion
